site,lat,lon,risk_percent,category,reasoning,prediction,active_fires,earthquakes,temp_max,rain_total
Berlin,52.52,13.405,0.6077836488573116,Wildfire,2 active fires detected | High fire intensity (321K),0,2,0,2.99,0.0
Hamburg,53.5511,9.9937,0.4045462387853692,Wildfire,9 active fires detected | High fire intensity (315K),0,9,0,3.33,0.0
München,48.1351,11.582,3.4246004986468743,Flood,Low risk conditions,0,0,0,3.39,0.0
Frankfurt,50.1109,8.6821,5.038186672815893,Wildfire,5 active fires detected | High fire intensity (329K),0,5,0,6.01,0.0
Los Angeles,34.0522,-118.2437,9.933982039391747,Wildfire,4 active fires detected | High fire intensity (311K) | 7 earthquakes (7d) | Heavy rain (106.0mm),0,4,7,20.3,106.02000000000001
San Diego,32.7157,-117.1611,3.406412372895218,Wildfire,6 active fires detected | High fire intensity (337K) | 3 earthquakes (7d),0,6,3,19.14,42.03
San Francisco,37.7749,-122.4194,4.853903162323837,Wildfire,2 active fires detected | High fire intensity (311K) | 15 earthquakes (7d),0,2,15,15.53,41.32
Sacramento,38.5816,-121.4944,5.877270419657778,Wildfire,13 active fires detected | High fire intensity (327K) | 14 earthquakes (7d),0,13,14,17.1,41.230000000000004
Portland,45.5152,-122.6784,8.272158933242634,Wildfire,2 active fires detected | High fire intensity (325K) | 2 earthquakes (7d) | Recent event (12 days ago),1,2,2,8.76,7.36
Seattle,47.6062,-122.3321,89.63795531449775,Flood,4 earthquakes (7d) | Recent event (12 days ago),1,0,4,10.74,8.079999999999998
Phoenix,33.4484,-112.074,5.731446673035813,Wildfire,10 active fires detected | High fire intensity (324K),0,10,0,25.43,1.7
Denver,39.7392,-104.9903,18.16478535622752,Wildfire,4 active fires detected | High fire intensity (343K),0,4,0,17.7,0.0
Houston,29.7604,-95.3698,16.581577648687773,Wildfire,24 active fires detected | High fire intensity (334K),0,24,0,27.79,0.17
New Orleans,29.9511,-90.0715,4.556139972726315,Wildfire,123 active fires detected | High fire intensity (377K),0,123,0,24.3,0.0
Miami,25.7617,-80.1918,5.828101872720007,Wildfire,45 active fires detected | High fire intensity (399K),0,45,0,25.63,2.2
Tampa,27.9506,-82.4572,11.705260988432174,Wildfire,28 active fires detected | High fire intensity (397K),0,28,0,25.14,0.0
Tokyo,35.6762,139.6503,1.0973232383271765,Wildfire,1 active fires detected | High fire intensity (300K),0,1,0,13.93,14.89
Osaka,34.6937,135.5023,1.9496124376183896,Wildfire,6 active fires detected | High fire intensity (313K),0,6,0,13.38,24.93
Manila,14.5995,120.9842,23.31093833837052,Wildfire,2 earthquakes (7d),0,0,2,29.74,2.93
Jakarta,-6.2088,106.8456,4.392600510082921,Wildfire,1 active fires detected | High fire intensity (304K) | High temperature (31.9°C),0,1,0,31.88,15.610000000000001
Bangkok,13.7563,100.5018,93.65691666440789,Wildfire,37 active fires detected | High fire intensity (331K) | High temperature (34.8°C) | Recent event (10 days ago),1,37,0,34.82,0.0
Sydney,-33.8688,151.2093,92.37790127883576,Wildfire,3 active fires detected | High fire intensity (329K) | Recent event (15 days ago),1,3,0,27.72,2.2600000000000002
Melbourne,-37.8136,144.9631,2.9395147970955824,Wildfire,19 active fires detected | High fire intensity (342K),0,19,0,20.95,0.47
Brisbane,-27.4698,153.0251,13.269307784699908,Wildfire,24 active fires detected | High fire intensity (344K) | High temperature (36.9°C),0,24,0,36.91,37.22
Santiago,-33.4489,-70.6693,2.274639942759189,Wildfire,71 active fires detected | High fire intensity (429K) | 1 earthquakes (7d) | High temperature (31.4°C),0,71,1,31.44,0.0
Lima,-12.0464,-77.0428,1.1231087642449815,Wildfire,9 active fires detected | High fire intensity (344K),0,9,0,23.63,0.0
Mexico City,19.4326,-99.1332,0.34885596677297337,Wildfire,43 active fires detected | High fire intensity (341K),0,43,0,20.09,0.1
Quito,-0.1807,-78.4678,73.88056555323732,Earthquake,46 active fires detected | High fire intensity (348K) | 2 earthquakes (7d) | 1 strong earthquakes (M5+) | Recent event (24 days ago),1,46,2,17.27,5.77
San Jose CR,9.9281,-84.0907,14.554537685100243,Wildfire,6 active fires detected | High fire intensity (326K) | 1 strong earthquakes (M5+),0,6,0,27.44,0.0
Anchorage,61.2181,-149.9003,2.306402054238015,Earthquake,15 earthquakes (7d) | 1 strong earthquakes (M5+),0,0,15,-14.65,0.0
Honolulu,21.3099,-157.8581,16.056127931717185,Wildfire,1 earthquakes (7d),0,0,1,25.87,3.0799999999999996
Wellington,-41.2865,174.7762,5.828711360670784,Wildfire,Low risk conditions,0,0,0,19.4,0.59
Auckland,-36.8485,174.7633,4.803771030908183,Wildfire,Low risk conditions,0,0,0,23.77,2.5700000000000003
Port-au-Prince,18.5944,-72.3074,15.424290259839617,Wildfire,19 active fires detected | High fire intensity (336K),0,19,0,29.75,1.03
Managua,12.1364,-86.2514,21.590482295221488,Wildfire,17 active fires detected | High fire intensity (336K) | 2 earthquakes (7d) | High temperature (31.1°C),0,17,2,31.08,0.12
